Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2022/2023);VALMY;199 QUAI DE VALMY;10ème Ardt;75110;2022-2023;Collège;"{""coordinates"": [2.368318407704825, 48.881623867084365], ""type"": ""Point""}";48.881623867084365, 2.368318407704825
COLLEGES (année scolaire 2023/2024);FRANCOIS COUPERIN;2 ALLEE DES JUSTES DE FRANCE;4ème Ardt;75104;2023-2024;Collège;"{""coordinates"": [2.356278388990961, 48.85505968002608], ""type"": ""Point""}";48.85505968002608, 2.356278388990961
COLLEGES (année scolaire 2023/2024);SONIA DELAUNAY;14 RUE EURYALE DEHAYNIN;19ème Ardt;75119;2023-2024;Collège;"{""coordinates"": [2.3781287412764107, 48.88593429740651], ""type"": ""Point""}";48.88593429740651, 2.3781287412764107
COLLEGES (année scolaire 2023/2024);THOMAS MANN;91 AVENUE DE FRANCE;13ème Ardt;75113;2023-2024;Collège;"{""coordinates"": [2.377938859129365, 48.82891771170081], ""type"": ""Point""}";48.82891771170081, 2.377938859129365
COLLEGES (année scolaire 2023/2024);EVARISTE GALOIS;11 RUE DU DOCTEUR BOURNEVILLE;13ème Ardt;75113;2023-2024;Collège;"{""coordinates"": [2.358378714817569, 48.81844173613279], ""type"": ""Point""}";48.81844173613279, 2.358378714817569
COLLEGES (année scolaire 2023/2024);MOULIN DES PRES;18 RUE DU MOULIN DES PRES;13ème Ardt;75113;2023-2024;Collège;"{""coordinates"": [2.3527133607661415, 48.82878642051567], ""type"": ""Point""}";48.82878642051567, 2.3527133607661415
COLLEGES (année scolaire 2023/2024);CLAUDE DEBUSSY;4 PLACE DU COMMERCE;15ème Ardt;75115;2023-2024;Collège;"{""coordinates"": [2.2915976475106854, 48.84529147463902], ""type"": ""Point""}";48.84529147463902, 2.2915976475106854
COLLEGES (année scolaire 2023/2024);GUILLAUME APOLLINAIRE;39 AVENUE EMILE ZOLA;15ème Ardt;75115;2023-2024;Collège;"{""coordinates"": [2.282679643541085, 48.8465711128111], ""type"": ""Point""}";48.8465711128111, 2.282679643541085
COLLEGES (année scolaire 2023/2024);BORIS VIAN;76 BOULEVARD BERTHIER;17ème Ardt;75117;2023-2024;Collège;"{""coordinates"": [2.3044618079108674, 48.890576927502146], ""type"": ""Point""}";48.890576927502146, 2.3044618079108674
COLLEGES (année scolaire 2023/2024);STEPHANE MALLARME;29 RUE DE LA JONQUIERE;17ème Ardt;75117;2023-2024;Collège;"{""coordinates"": [2.32448159826506, 48.8934820195837], ""type"": ""Point""}";48.8934820195837, 2.32448159826506
COLLEGES (année scolaire 2023/2024);PIERRE MENDES FRANCE;24 RUE LE VAU;20ème Ardt;75120;2023-2024;Collège;"{""coordinates"": [2.411159984926502, 48.86805832906415], ""type"": ""Point""}";48.86805832906415, 2.411159984926502
COLLEGES (année scolaire 2023/2024);MARX DORMOY;55 RUE MARX DORMOY;18ème Ardt;75118;2023-2024;Collège;"{""coordinates"": [2.359697412102091, 48.888496875091114], ""type"": ""Point""}";48.888496875091114, 2.359697412102091
COLLEGES (année scolaire 2023/2024);DANIEL MAYER;2 PLACE HEBERT;18ème Ardt;75118;2023-2024;Collège;"{""coordinates"": [2.363861812299952, 48.893141293813464], ""type"": ""Point""}";48.893141293813464, 2.363861812299952
COLLEGES (année scolaire 2023/2024);BEAUMARCHAIS;124 RUE AMELOT;11ème Ardt;75111;2023-2024;Collège;"{""coordinates"": [2.3669059641720596, 48.864231545646064], ""type"": ""Point""}";48.864231545646064, 2.3669059641720596
COLLEGES (année scolaire 2024/2025);MOZART;7 RUE JOMARD;19ème Ardt;75119;2024-2025;Collège;"{""coordinates"": [2.379308212552385, 48.88957595365006], ""type"": ""Point""}";48.88957595365006, 2.379308212552385
COLLEGES (année scolaire 2024/2025);BERNARD PALISSY;21 RUE DES PETITS HOTELS;10ème Ardt;75110;2024-2025;Collège;"{""coordinates"": [2.35285899572182, 48.87746346177602], ""type"": ""Point""}";48.87746346177602, 2.35285899572182
COLLEGES (année scolaire 2024/2025);ST EXUPERY;89 BOULEVARD ARAGO;14ème Ardt;75114;2024-2025;Collège;"{""coordinates"": [2.3354369048459884, 48.834349034877256], ""type"": ""Point""}";48.834349034877256, 2.3354369048459884
COLLEGES (année scolaire 2024/2025);PIERRE JEAN DE BERANGER;5 RUE BERANGER;3ème Ardt;75103;2024-2025;Collège;"{""coordinates"": [2.3642603834093108, 48.865016990354505], ""type"": ""Point""}";48.865016990354505, 2.3642603834093108
