valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,jour,mois,annee,arrondissement
522000.0,30.0,2.0,2.344377,48.888948,17400.0,19,1,2024,18
236750.0,24.0,2.0,2.347028,48.894201,9864.583333333334,8,1,2024,18
120000.0,19.0,1.0,2.353969,48.888217,6315.789473684211,10,1,2024,18
120000.0,19.0,1.0,2.353969,48.888217,6315.789473684211,10,1,2024,18
550000.0,33.0,2.0,2.361892,48.860881,16666.666666666668,15,1,2024,3
550000.0,51.0,3.0,2.361892,48.860881,10784.313725490196,15,1,2024,3
640000.0,50.0,2.0,2.320787,48.872583,12800.0,10,1,2024,8
418000.0,29.0,2.0,2.313963,48.880264,14413.793103448275,17,1,2024,8
550000.0,59.0,2.0,2.345729,48.860977,9322.033898305084,16,1,2024,1
150000.0,17.0,1.0,2.348446,48.893593,8823.529411764706,24,1,2024,18
740000.0,54.0,3.0,2.358147,48.857125,13703.703703703704,10,1,2024,4
225000.0,36.0,2.0,2.384289,48.897372,6250.0,22,1,2024,19
750000.0,60.0,2.0,2.361939,48.854198,12500.0,9,1,2024,4
1223000.0,106.0,5.0,2.349332,48.892578,11537.735849056604,11,1,2024,18
439033.0,43.0,3.0,2.385306,48.866727,10210.06976744186,8,1,2024,20
251500.0,20.0,1.0,2.355192,48.864777,12575.0,15,1,2024,3
645000.0,40.0,2.0,2.303677,48.879787,16125.0,5,1,2024,17
587980.0,59.0,2.0,2.289105,48.881146,9965.762711864407,4,1,2024,17
329233.6,50.0,3.0,2.317758,48.884475,6584.672,17,1,2024,17
340000.0,34.0,2.0,2.338353,48.890185,10000.0,22,1,2024,18
200000.0,32.0,2.0,2.391966,48.887636,6250.0,22,1,2024,19
164100.0,17.0,2.0,2.368598,48.889955,9652.941176470587,11,1,2024,19
622500.0,50.0,2.0,2.340015,48.876933,12450.0,17,1,2024,9
250000.0,30.0,1.0,2.384106,48.88563,8333.333333333334,17,1,2024,19
317900.0,38.0,2.0,2.388373,48.883477,8365.78947368421,8,1,2024,19
470000.0,40.0,2.0,2.365045,48.877774,11750.0,10,1,2024,10
1070000.0,103.0,4.0,2.364824,48.861725,10388.349514563106,17,1,2024,3
196000.0,25.0,1.0,2.399533,48.858162,7840.0,18,1,2024,20
480000.0,35.0,1.0,2.366776,48.860902,13714.285714285714,15,1,2024,3
399257.66,27.0,1.0,2.364725,48.885666,14787.320740740739,8,1,2024,18
399257.66,29.0,2.0,2.364725,48.885666,13767.505517241378,8,1,2024,18
399257.66,24.0,1.0,2.364725,48.885666,16635.735833333332,8,1,2024,18
399257.66,24.0,1.0,2.364725,48.885666,16635.735833333332,8,1,2024,18
399257.66,24.0,1.0,2.364725,48.885666,16635.735833333332,8,1,2024,18
399257.66,40.0,3.0,2.364725,48.885666,9981.441499999999,8,1,2024,18
399257.66,28.0,1.0,2.364725,48.885666,14259.202142857142,8,1,2024,18
399257.66,25.0,1.0,2.364725,48.885666,15970.3064,8,1,2024,18
399257.66,29.0,1.0,2.364725,48.885666,13767.505517241378,8,1,2024,18
399257.66,41.0,2.0,2.364725,48.885666,9737.991707317073,8,1,2024,18
621500.0,57.0,3.0,2.285951,48.878112,10903.508771929824,18,1,2024,17
728200.0,64.0,4.0,2.322861,48.87614,11378.125,5,1,2024,8
393000.0,42.0,2.0,2.334548,48.890213,9357.142857142857,22,1,2024,18
605000.0,59.0,3.0,2.323209,48.887547,10254.237288135593,23,1,2024,17
160000.0,25.0,1.0,2.360348,48.88699,6400.0,12,1,2024,18
530700.0,66.0,3.0,2.362819,48.886046,8040.909090909091,19,1,2024,18
315000.0,96.0,4.0,2.396148,48.865266,3281.25,5,1,2024,20
360000.0,34.0,2.0,2.398611,48.876969,10588.235294117647,10,1,2024,19
294000.0,53.0,3.0,2.344586,48.897241,5547.169811320755,8,1,2024,18
575900.0,55.0,3.0,2.383136,48.867612,10470.90909090909,5,1,2024,20
331500.0,35.0,2.0,2.380396,48.872548,9471.42857142857,8,1,2024,20
640000.0,60.0,3.0,2.321273,48.885196,10666.666666666666,25,1,2024,17
491000.0,65.0,3.0,2.392143,48.875218,7553.846153846154,25,1,2024,20
425000.0,67.0,3.0,2.374471,48.894044,6343.2835820895525,15,1,2024,19
425000.0,50.0,2.0,2.374471,48.894044,8500.0,15,1,2024,19
490000.0,63.0,3.0,2.402551,48.864334,7777.777777777777,5,1,2024,20
340000.0,39.0,2.0,2.332492,48.890631,8717.948717948719,5,1,2024,18
640000.0,55.0,3.0,2.339133,48.889777,11636.363636363636,24,1,2024,18
162600.0,17.0,1.0,2.402401,48.853323,9564.70588235294,19,1,2024,20
637681.0,58.0,2.0,2.346178,48.870378,10994.5,9,1,2024,2
338000.0,50.0,3.0,2.325158,48.883935,6760.0,11,1,2024,17
365000.0,34.0,2.0,2.33127,48.884684,10735.29411764706,25,1,2024,18
375000.0,29.0,1.0,2.366948,48.854413,12931.034482758621,8,1,2024,4
322000.0,31.0,1.0,2.336907,48.882977,10387.09677419355,12,1,2024,18
313050.0,32.0,2.0,2.3912,48.869215,9782.8125,23,1,2024,20
502800.0,32.0,2.0,2.334847,48.890769,15712.5,16,1,2024,18
1437500.0,107.0,4.0,2.324997,48.881869,13434.579439252337,16,1,2024,8
270000.0,28.0,2.0,2.346963,48.880974,9642.857142857143,16,1,2024,9
